,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,mse,mapd
10,0.3197401021436972,0.37692227366992753,0.35805208685659806,0.23997128917147265,0.24422112021254858,0.22445547241192715,0.36779388073886154,0.5973867390558307,0.4288258930669596,0.2512409154167945,0.03938189343924416,0.019937855655215747,0.37722222274974365,1.039363031053996,81.98631182751089,0.8451912702570162
11,0.32757273850688423,0.34306528432384087,0.39990764284727875,0.24517686136797145,0.21886035153496228,0.21004154479194925,0.39928524783343766,0.6153183001112282,0.4323568844369971,0.21467615175287544,0.027462173179938536,0.021452414682288652,0.7146191296226383,1.1057832076937824,94.16518850714405,0.9494422920317863
12,0.3311101348729929,0.28307937720960563,0.37872656171253305,0.1923980349559612,0.28928928504996787,0.3085410603035471,0.33843547812744323,0.4591377820858,0.10091594136993595,0.4106822958396785,0.07566816582270126,0.06287540036345117,0.7527647580839818,1.1066920773195148,91.79997380982,0.907231056586285
13,0.3311601868606391,0.3202585224932276,0.2662878299510383,0.2716610613572671,0.19994976788161353,0.39203788242632676,0.2331204746188145,0.6116901989365576,0.2757455851326688,0.11618392933332974,0.06485743624552663,0.06689805330515752,0.5674704453496302,0.6408349309542162,96.7076958042044,0.7136320231083071
14,0.33616966923215463,0.3947507356954698,0.3931185243888574,0.25220150696032145,0.17572911752593606,0.28412671661573385,0.3451476605559262,0.5546334690902055,0.26380936491352897,0.5989781181024585,0.016839002513298756,0.028207703147314987,0.35774923187372076,0.7431952072888464,95.98859807919627,0.890758171272122
15,0.35243438648755154,0.37446832081279435,0.38431150553697346,0.2752954690958647,0.2539449304053345,0.22996577980746594,0.282741474693026,0.5877265767678654,0.3950138067314292,0.2914477029334781,0.020154854589548053,0.03553103801702638,0.823141633676355,0.6981798924948373,91.92823067038896,0.6924230515669516
16,0.36832699900758864,0.33185082997883236,0.31312787349713356,0.16569503159346932,0.2254842383599211,0.3957054177423356,0.27323010463407404,0.4746257666959755,0.10895556461687199,0.39677334235847733,0.0680655387766704,0.021638580087969428,0.3780595052905502,0.8272715998021808,84.41440229495109,0.7599929675746676
17,0.3697058809458176,0.26748424920361974,0.2703755615991681,0.17466212143115323,0.2867441015488554,0.3051000129555463,0.34085098785096446,0.585156289444905,0.4035069520086286,0.5366069133037306,0.08288525405236058,0.05437888902861285,0.7070968341616939,0.7974765745365151,98.40539499226307,0.9970154324037146
18,0.3730637242816446,0.39078057063889604,0.3330318029495659,0.1887025874816361,0.27956443627873595,0.30376629579441194,0.30348155117994025,0.18997079362688002,0.3617790211879084,0.261352557013093,0.0801367896718573,0.03486992808549272,0.6752864866010369,0.6490734479563319,88.58163593407994,0.8941739976916843
19,0.382343906271712,0.27120520855014885,0.3604732778054215,0.2512000622971403,0.20971443325772918,0.37843640375003684,0.28068896468604276,0.2670760006904871,0.4064855901836887,0.43067424196881415,0.0770822841504766,0.022474890511640692,0.6017504170111261,0.6392548042914322,98.66991903994774,0.9533902060158834
20,0.38545390229271537,0.2527289719013203,0.28744454166051453,0.18462522986578528,0.20413201250560353,0.2632286406282026,0.38749131722596997,0.49672415403963077,0.5627580620508515,0.11883604772103638,0.05106101436496335,0.04499107331967234,0.7978058902575627,0.93906473608163,97.07896498017848,0.9319261620062085
21,0.3854863999895425,0.3943227207188048,0.2221267731315588,0.22188666540253763,0.1702815010769587,0.32597953073966646,0.28484947282163764,0.298618611467771,0.10119386041030838,0.47245695300204177,0.08227427778976083,0.07186265759664721,0.7991138095024497,0.7956863433669878,97.76795701959608,0.6731533740743548
