,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
2404,0.38276189824667844,0.8677646780803722,0.24284640032665464,0.2652824156447461,0.49303008938766335,0.6203854426210197,0.6291839105281319,0.4161402648384736,0.808250199814017,0.11187216988773364,0.9516781306999484,0.744202954894952,0.014708782444694255,0.45159958530792854,0.4151364797185225,0.7826051326101688
638,0.09149804939587486,0.8888057390318552,0.024439818672497143,0.778027358938086,0.13519425451369027,0.7222735372110864,0.3747220285495509,0.9453756350090711,0.3505972080559076,0.05050652007008736,0.5622077864639028,0.9605748796456156,0.14632721073052518,0.12979195342241595,0.36655210575619634,0.5983556967939117
911,0.6597769332069431,0.04568223928614775,0.08087697565408421,0.25962296739559343,0.7074627573696659,0.14259948847700143,0.26956633166879135,0.9828211772099988,0.8836947364182749,0.09080390214498578,0.4070159737303345,0.4745005374519411,0.24006870417602827,0.6226297981131196,0.9936374258459554,0.8105013010433146
2564,0.1216549487069029,0.020252902450620985,0.09657195139471793,0.7917801684323014,0.6491832380285659,0.14020626232332645,0.489720440948865,0.926145080529123,0.6475449954484325,0.013676528154406788,0.06973106294484444,0.1207347266049984,0.055754810983249456,0.16790510459833177,0.6986342137079862,0.2594533299424122
3249,0.10114146291180266,0.6355758087954939,0.2849492667906815,0.10507211580691685,0.21245455514351505,0.3392943094461256,0.6972350203807721,0.32527683027939475,0.3767648643492156,0.028903805358413224,0.7099175925414781,0.8449109905361043,0.19641047222133726,0.4973549044466717,0.8002540359787667,0.004703650191561926
2849,0.9321265933754098,0.11969420549399011,0.21482077187719895,0.01519032210887572,0.10745633962741835,0.2981402155438767,0.2870621528838211,0.7068255829590844,0.2894881167419785,0.2775705353011783,0.8335909270606854,0.7421138568247038,0.46986575371310474,0.27637382862243365,0.5821085243457814,0.033957583417513953
3125,0.5922398221813786,0.2681195301979269,0.0365690005496909,0.006544482726768104,0.02211480336530319,0.7249679999137126,0.7125071864393847,0.6198054017413906,0.6035972090902026,0.9037648426436896,0.6461260009141282,0.8170463371628095,0.028895379661532494,0.03644112503363294,0.001860918564710858,0.21004459296640837
2102,0.16409966481436564,0.49231051062288333,0.06219326008102612,0.41512083707097425,0.6598481752512957,0.7100704761108027,0.46157028995723104,0.8377554259525907,0.8741300777144457,0.5356522998340318,0.5040277147261462,0.4827803506365086,0.8763228734329394,0.10172442715010396,0.5250152935114348,0.24736946326558104
1988,0.4901286054794477,0.14558923851993194,0.5103009158517121,0.39520862964153286,0.11395657663063441,0.5229423599218869,0.6564121998261673,0.5182703684436046,0.3695514319738828,0.996930207919546,0.1804830531391754,0.006767810000978203,0.12394485032894384,0.024576837094810945,0.9920216579572031,0.04097205408472268
1829,0.8646421010570646,0.5881559623653189,0.3412528853185996,0.05857481860737476,0.6935534508782251,0.38035490376940095,0.13351097388785796,0.9930013731183088,0.7180073688839247,0.002583037028562717,0.9852214183920088,0.6947518706835426,0.42712546588637507,0.15485767391356703,0.9790361635833135,0.12882789032684364
822,0.5875540031576036,0.7862077932827383,0.0057488429690433045,0.12139642428276233,0.7777936941440451,0.3326067076359131,0.6362035829702397,0.5663649867567438,0.7776326873235038,0.7793507617874783,0.4098735118302918,0.9969926369281971,0.04649896933601705,0.6741726620782078,0.003921027008910166,0.3448665818096201
