split,kernel_liq_density,mse_liq_density,mapd_liq_density,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
86,RQ,0.4055924848942647,0.0711181126177754,RQ,1.426658259451281,6.615515441112889
87,RQ,0.1062956630031583,0.0325679012678868,RQ,0.5472859947745327,2.0281578191689524
88,RQ,0.0002433305992481,0.0015917897349173,RQ,0.6076545980510196,2.3691158441904765
89,RQ,0.0061860076836483,0.0082021290417095,RQ,0.284417144105563,1.7030968213945432
90,RQ,0.006583235725403,0.0086514610183657,RQ,0.1333040253745353,1.2767383860487598
91,RQ,0.0383271337404784,0.0213647812065759,RQ,2.0320502975802985,5.7327620680129
92,RQ,0.3516962239745579,0.0587797917707603,RQ,0.0525375924019317,0.9067725971936648
93,RQ,0.0018185274609388,0.004346881929053,RQ,0.0305796188762402,0.7656552152519722
94,RQ,0.1806339651030338,0.0446451712126193,RQ,0.0134583019150644,0.5736051542093946
95,RQ,0.0813700813379908,0.0309068506822851,RQ,0.0804739573076756,1.562639997879026
96,RQ,0.0565875069762676,0.0266448229464026,RQ,0.3725100690059494,4.023720482857669
97,RQ,0.0016920781425989,0.0041159540836446,RQ,0.1208522595288708,1.0007387145244624
98,RQ,3.0777277639595835e-06,0.0001792596249523,RQ,0.0563532612554075,0.7261872043390114
99,RQ,0.0135233201587303,0.01214532780344,RQ,0.0001673781010264,0.0430469096161246
100,RQ,0.0596311179396259,0.0260975370702115,RQ,0.0124762605538671,0.4059287531277114
101,RQ,0.1425806436090488,0.041323778862125,RQ,0.0117905069225447,0.4309251988835871
102,RQ,0.1328359574449514,0.0366846219781063,RQ,3.441166648227937,5.885497479987938
103,RQ,0.015225882030076,0.0127036562848845,RQ,0.9734468043637062,3.597748943885063
104,RQ,0.0082053883335762,0.0095514291381349,RQ,1.0852827165786896,4.176230426139382
105,RQ,0.0491986434290997,0.0239762063438063,RQ,0.1617173966869625,1.719859619378113
106,RQ,0.1790726501413096,0.0469595847034581,RQ,0.5651540436220853,3.572113118172588
107,RQ,3.097465695668598,0.1751456252122178,RQ,0.1651001511302545,1.2803914328129062
108,RQ,0.4158043533233074,0.0654791742953252,RQ,0.0956545754844741,1.044609737964655
109,RQ,0.0441449298933867,0.0218500068588363,RQ,0.1465967798663917,1.4271641167914064
110,RQ,0.024554220083275,0.0167181557493588,RQ,0.0574270935618126,0.956077963820022
111,RQ,0.1588918366322426,0.0437062662575798,RQ,0.0006353748140436,0.1114086038717401
112,RQ,0.410877470342798,0.0651370264157669,RQ,0.0131895572944233,0.2705194773995188
113,RQ,0.0233854426897347,0.015807005843634,RQ,0.6269340393427646,1.986409245512413
114,RQ,0.0007515990901228,0.0028841290548357,RQ,0.5604609101745631,1.9177073064965475
115,RQ,0.0092713888568467,0.0103149512385416,RQ,0.7184275568944576,2.2859791386837003
116,RQ,0.3234050370136758,0.062041865017084,RQ,0.5823185213782008,2.251743848376452
117,RQ,0.4690563689432117,0.0691770294547213,RQ,0.5686477346364979,2.441518332338482
118,RQ,0.0991422329389494,0.0324851864764103,RQ,0.5534131478637337,2.6254365043197327
119,RQ,0.0227139720073615,0.0159003008597129,RQ,0.016542358177711,0.4832558664482631
120,RQ,0.006832176576522,0.0089283872780737,RQ,0.0800112265587897,1.1414539331422051
121,RQ,0.2751185380407997,0.0580425296806262,RQ,0.2594338258213411,2.2321254281861105
