split,kernel_liq_density,mse_liq_density,mapd_liq_density
68,Matern52,0.006468651570636721,0.00869540169460086
69,Matern52,0.0016813810842671942,0.004458080580131057
70,Matern52,0.05508152350190025,0.025144522109434502
71,Matern52,9.760564393248195e-05,0.0010638255706155023
72,Matern52,0.09304014811447861,0.033011395256068374
73,Matern52,0.03186609120129508,0.01943008976391787
74,Matern52,0.028684132849527203,0.01853480147522654
75,Matern52,0.020072570673988786,0.015070112576724918
76,Matern52,0.12271411518575172,0.037439473720083695
77,Matern52,0.36130748066310864,0.06458762873879322
78,Matern52,0.06718702325987776,0.027966292284092007
79,Matern52,0.002045395245055052,0.004902738768420702
80,Matern52,0.6924464126014378,0.08749170154330269
81,Matern52,0.606028891012923,0.08247077708389147
82,Matern52,0.14996121304473947,0.041419043692872366
83,Matern52,5.7643216353826974e-05,0.0008193959871091681
84,Matern52,0.2746423510763285,0.05708155020813371
85,Matern52,0.00013182166164411912,0.0012257749294624961
86,Matern52,0.027712574983384867,0.01787292156329511
87,Matern52,0.023696999292315706,0.016627668946601736
88,Matern52,0.03615830296699345,0.020660667946463752
89,Matern52,0.2585906428280204,0.055561191061439946
90,Matern52,0.007276106963041907,0.009032101070872036
91,Matern52,0.012753060154546178,0.012024768555032303
92,Matern52,0.041700247463700525,0.021860215340868332
93,Matern52,0.06850770863168837,0.028183254232178448
94,Matern52,0.19935495891787125,0.048334822592529574
95,Matern52,0.9421859604538525,0.10455940561887053
96,Matern52,0.1009276175986407,0.03431654641583252
97,Matern52,0.010565042405124285,0.011138982821036453
98,Matern52,1.8609601199715276e-05,0.0004689096671513692
99,Matern52,0.035565836321024856,0.020567301660533287
100,Matern52,0.05211140121996557,0.024411813234719214
101,Matern52,0.024012661932348207,0.016679129717497142
102,Matern52,0.000622274952648687,0.0027015181764797227
103,Matern52,0.0005940372306875714,0.0026556082887927287
104,Matern52,0.05288621466170495,0.025209650346937024
105,Matern52,0.04181263983305319,0.02184999755313377
106,Matern52,0.01461788876241509,0.0129800851822377
107,Matern52,0.017076204385391373,0.014099108534672491
108,Matern52,0.005861305586034233,0.008299984138412802
109,Matern52,1.5297837870985476e-05,0.00042623198740146805
110,Matern52,0.04703968561621447,0.022874067306418017
111,Matern52,0.0382521191930854,0.02074259309180221
112,Matern52,0.007045760064194549,0.008956691022035907
113,Matern52,0.004151045533807613,0.006916815825705331
114,Matern52,0.007680438132449118,0.009466921596326346
115,Matern52,0.02098796346575663,0.015345101658420445
116,Matern52,0.061230634109703946,0.02631976863457983
117,Matern52,0.04554891254747956,0.02278043195524131
118,Matern52,0.015471273293741749,0.013329591926866717
119,Matern52,0.1358669705670219,0.03965330542266266
120,Matern52,0.006727086063120466,0.008745516924443933
121,Matern52,0.0021085929332790095,0.004918949817362941
122,Matern52,0.002365092182026783,0.005233984812379631
123,Matern52,0.00025114795702591865,0.0017135177046732552
124,Matern52,0.0017198086753507477,0.0045052669426639885
