,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens
10,0.3284618978146402,0.2931988673508344,0.1621540885100741,0.19868084406091924,0.3727470456750228,0.26423962198912476,0.5833232316039841,0.15337224501248806,0.05432505896981529,0.08059785145043966,0.6964483128426662,0.35046245007468,11.453871865712186,0.3056247833466709,2.8582865033674123,0.18072709132936768,62.25268235899997,23.51193240914755,7.842519999999999,-23.511932409147555
11,0.33616495051771156,0.3663966649832805,0.2553689003538479,0.2065558368231005,0.23553616444965744,0.30640079590921143,0.24038643688902403,0.32188979381185123,0.07306144237336812,0.07437946600132542,1.0526334820302103,0.8097009394167767,3.704643840543446,0.1779422915407369,1.6579955504126702,0.0027212830957991318,33.45574394449999,17.029448454521106,5.69431,-17.029448454521106
12,0.3374143638299191,0.2176886302667283,0.2743290182587674,0.18005594752468207,0.2024534964530784,0.39587156141536445,0.35065072847313455,0.5357445984353444,0.06434713474695522,0.06621384317625001,0.7741262100630022,0.35015502804609716,41.912513605047295,0.6590773984022341,6.126412942635443,-0.659077398402234,114.76972053099996,32.06212534847487,10.688699999999997,-32.06212534847487
13,0.3420429086450484,0.3761769335391658,0.17670783036066598,0.2766326391130591,0.36435514563362714,0.2412508378741525,0.47589675151116817,0.5170436654088257,0.06839085324739427,0.03031624808340007,0.6240062779223027,0.6476344390666695,3.7142548430368683,0.20275447896228047,1.886673115909889,-0.20275447896228044,7.688083472000008,8.188322170305826,2.7284400000000018,8.188322170305828
14,0.35366500483936614,0.39579100426458147,0.16168139636709478,0.2746983895850252,0.3509692949203834,0.39264661238148924,0.10026992157937692,0.2663436026378678,0.04148766661232585,0.017889591260088565,1.0706882187590312,0.8112518956533725,67.41455968519954,0.8809478200353293,8.20835796735994,-0.8809478200353293,10.780739385000008,9.64354317618446,3.213340000000001,9.64354317618446
15,0.3545477454559204,0.21721813247276656,0.19678351711988595,0.19883293423708495,0.3702876105944099,0.37885115068023645,0.3882669039842556,0.586476999221801,0.08218570920192886,0.018691072981649137,0.8662858995412468,0.7749588103940948,1.007856343168283,0.09192344134617719,0.8600015905747341,-0.08216732585201947,146.63664063500005,36.19809241822991,12.061060000000001,36.198092418229905
16,0.36344045173848677,0.3030204065777207,0.23650478214184206,0.248821963603494,0.2081155200826808,0.2294320117848712,0.3189768115347209,0.3290672548097545,0.06433662120879158,0.018168162925121106,0.6843720153690067,0.34073341758661563,33.83162135517695,0.5218962326347052,4.8813813084141655,0.3194710922697381,220.627416383,44.6133617742923,14.851040000000001,-44.6133617742923
17,0.3656392542540049,0.39848306002571776,0.2264461181641261,0.1592100339947204,0.2534214584313764,0.3667091070522599,0.3002199111071384,0.2928507128321707,0.05317085360034425,0.07367976540338017,0.7357893463209279,0.40201345735456784,36.93949118292515,0.6471591932538913,6.024887590862113,-0.6471591932538913,0.11540024749999878,0.8184997852259963,0.27636999999999856,-0.6771026393420301
18,0.3692437656919021,0.22032959787389783,0.2609547522843322,0.2955164870847095,0.21447441146824697,0.36724166325567653,0.419818552717486,0.2131920368875046,0.05980711725662359,0.031228003447565357,1.0939092883016999,0.8041416731963912,4.702574449288123,0.2260718429577196,2.11027870394812,0.2260718429577196,12.506397508000004,10.51102561622245,3.505160000000001,10.51102561622245
19,0.3693465089131637,0.3892475671774047,0.20474207388253904,0.273118569789974,0.35355020678947013,0.3909998471851932,0.5990481432536732,0.44400695634992693,0.060739847084925386,0.07176737106891762,0.958861477626034,0.7960735535579284,91.74921758885151,0.9811268413488979,9.163260220325947,-0.981126841348898,1763.2862481000004,125.99628706257164,41.96640000000001,125.99628706257162
20,0.37306687074096045,0.3398087421437569,0.2614455915247288,0.16936551460521038,0.2040824934959325,0.2182567573389665,0.3920259629292689,0.46182753093991424,0.07050006174301597,0.08224941816648981,0.9410371830424755,0.4296731231262213,72.15148099677859,0.9026158644960187,8.402141323158252,-0.9026158644960187,22.52004410949998,14.121294234810891,4.7092899999999975,-14.12129423481089
21,0.3779224549701835,0.3940913254184154,0.19005172498290443,0.29190445080559035,0.2724540550304797,0.37617749633698494,0.5682422248988599,0.09051766496691156,0.05629563770217566,0.01798624503779272,1.0284609782817205,0.3766223206404933,26.020937091000498,0.5453504755371481,5.084879629202987,-0.5453504755371481,52.58528524850001,21.644494561385276,7.194850000000001,21.64449456138528
22,0.3800794280550036,0.2508766185857224,0.2174311425651363,0.27675909631361506,0.2578832435148984,0.27982319244086307,0.6004134214123733,0.0846409025669062,0.03932727551443255,0.07742741195621737,0.9131413897313563,0.6837384770870043,28.01852222315182,0.5538387298837326,5.169367783160146,0.5538387298837326,4.018078963000002,4.903341461852784,1.6147799999999997,-4.903341461852785
23,0.3850343950234687,0.3297798843865575,0.19059234632588382,0.2676104236367677,0.3202869296116727,0.38889696105445637,0.6112162257166818,0.19171845283902927,0.07929428193641741,0.021681384068299184,0.668015939836167,0.7103924921695035,26.459718915928665,0.5211621887604617,4.843893866281587,0.5211621887604616,537.7346800500002,69.65547212666723,23.186500000000002,69.65547212666722
24,0.39669465982915675,0.26226072168632464,0.22888539043619271,0.1867154069515634,0.2951266265013761,0.34551619870974304,0.4819878501222439,0.4137162976091044,0.07499190859433201,0.02969064404451214,1.1028977999456804,0.42048309488149316,8.026622740007884,0.2940633181711886,2.7454144289549958,-0.2940633181711886,103.80977008950006,30.58128676234232,10.185350000000003,30.581286762342323
