,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
445349,0.9682390702539486,0.5461141004738589,0.3581820402778362,0.28924586741544805,0.8702658289191212,0.04403368583428108,0.05979491071469674,0.6946433740051893
116965,0.9798423138023628,0.22168042808868016,0.06434120535102338,0.40087164451706836,0.8498988067942739,0.6914582535456809,0.6154537378956909,0.7256845000924489
446020,0.9844150487023474,0.2074590068352931,0.2244247035111951,0.33752684446564857,0.6808019860423714,0.2997172105245839,0.2592581203734294,0.8533511407137729
404660,0.9914823497513015,0.04558213340825738,0.43406083016971264,0.4010591976552598,0.6439479320467654,0.9088948952106283,0.19596183226970285,0.2934799171487378
273194,0.9346886598797095,0.3253161044143341,0.4263152054377405,0.37835793679327107,0.7107436130486509,0.17485869025443646,0.052252502825422896,0.8010124422985178
130649,0.8679507849881005,0.641629772416176,0.3639270139321844,0.43096743228802314,0.9939767226474022,0.05317968404548804,0.05024610737281193,0.223731383569097
131942,0.7391450965800167,0.642305352785239,0.32443326309677467,0.46807718549472443,0.9617685545384289,0.10270872209085741,0.1667147292660411,0.16857948303074763
449710,0.949839809314048,0.45994194225126445,0.6005789771977912,0.3695730222686147,0.8497127206923507,0.9297968530582734,0.0377265097433162,0.45007357149962157
194570,0.6424025852323296,0.6359961465071516,0.0379828875877896,0.5830271961613978,0.9991647172498352,0.09678719257756767,0.1558002320137306,0.41014165035871514
301650,0.9181863292018424,0.5652369950390235,0.13227658577041376,0.3444717443848144,0.6004889970756973,0.1171347433725542,0.2550833831976836,0.8391381525922881
253484,0.9782321817574051,0.5384462614222718,0.1468450365095727,0.26746775500854814,0.5619683248353544,0.7994129486653286,0.18776325488590834,0.3005438218975515
125760,0.9415224093384957,0.4435212185748842,0.18362831036888186,0.3470394845914319,0.9217792595157867,0.06038688691388988,0.42078960053852904,0.8603051928843155
193705,0.9194712458432399,0.5360134072347024,0.09267354670566978,0.38492355338086487,0.7501815847966656,0.29405727014869104,0.4774710857319693,0.9259276634005978
315821,0.7038355406764797,0.6975162725895329,0.07232003488690206,0.4603078432781381,0.6741446065483327,0.04784501988695993,0.18690665622698158,0.8593085811970587
396797,0.9106224897484122,0.02093336745955974,0.11440720975345667,0.4477061096660421,0.9470350434196424,0.014094499666778077,0.38191541968253473,0.08603096347223745
356086,0.9472854320831899,0.4780557084616528,0.5635849936015964,0.3382534481820231,0.9417958915222496,0.4926801011924697,0.18595647615207603,0.6851485532163971
474574,0.9301122899540025,0.1361478673313605,0.138964881000938,0.4530161580970553,0.9463847524820456,0.15087349012918366,0.5256922566782636,0.64404190828833
273782,0.9807153395448152,0.19397955927434796,0.37436839018723606,0.36183739206764076,0.7169782327239114,0.3768944620722626,0.2696278690642902,0.5558345000980836
