,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature,liq_density,liq_density_unc
67,0.21954701633040002,0.39361669715763653,0.32452775374917925,0.2545411051136168,0.25164811986722513,0.3236961566005363,0.2306155173951305,0.2645780541434639,0.36087732847663684,0.5998084036596466,0.028932637353711488,0.07635117888682334,0.8218935919942536,0.995263921851219,313.19,966.6101391718703,0.5815529173079593
68,0.21954701633040002,0.39361669715763653,0.32452775374917925,0.2545411051136168,0.25164811986722513,0.3236961566005363,0.2306155173951305,0.2645780541434639,0.36087732847663684,0.5998084036596466,0.028932637353711488,0.07635117888682334,0.8218935919942536,0.995263921851219,333.18,939.0603594743743,0.523598405976852
69,0.21954701633040002,0.39361669715763653,0.32452775374917925,0.2545411051136168,0.25164811986722513,0.3236961566005363,0.2306155173951305,0.2645780541434639,0.36087732847663684,0.5998084036596466,0.028932637353711488,0.07635117888682334,0.8218935919942536,0.995263921851219,353.19,909.8263152258628,0.41675757305951305
70,0.2241072550287426,0.331916715214518,0.31883119146656863,0.27767593833222215,0.1602128140326298,0.3424104487653614,0.20653870112531358,0.10032799086069015,0.6079403825581289,0.36928974447478397,0.061543269913571674,0.021743088470602353,0.7363724086740773,1.0910252016950641,273.18,975.7863563314909,0.6931791974106336
71,0.2241072550287426,0.331916715214518,0.31883119146656863,0.27767593833222215,0.1602128140326298,0.3424104487653614,0.20653870112531358,0.10032799086069015,0.6079403825581289,0.36928974447478397,0.061543269913571674,0.021743088470602353,0.7363724086740773,1.0910252016950641,293.16,944.4242576895023,1.297797321038919
72,0.2241072550287426,0.331916715214518,0.31883119146656863,0.27767593833222215,0.1602128140326298,0.3424104487653614,0.20653870112531358,0.10032799086069015,0.6079403825581289,0.36928974447478397,0.061543269913571674,0.021743088470602353,0.7363724086740773,1.0910252016950641,313.19,910.5596969952253,0.788057181412521
73,0.2241072550287426,0.331916715214518,0.31883119146656863,0.27767593833222215,0.1602128140326298,0.3424104487653614,0.20653870112531358,0.10032799086069015,0.6079403825581289,0.36928974447478397,0.061543269913571674,0.021743088470602353,0.7363724086740773,1.0910252016950641,333.18,877.6328083024603,0.3941193979575932
74,0.2241072550287426,0.331916715214518,0.31883119146656863,0.27767593833222215,0.1602128140326298,0.3424104487653614,0.20653870112531358,0.10032799086069015,0.6079403825581289,0.36928974447478397,0.061543269913571674,0.021743088470602353,0.7363724086740773,1.0910252016950641,353.19,841.1261351416465,1.2769728340636708
75,0.2279397992428941,0.38986492982803644,0.20679057884845956,0.22061866515133557,0.2952550312160779,0.34326457277934513,0.23349600918191715,0.40562675924163355,0.5645789364099133,0.12413533042665548,0.029943501848596607,0.04514136468533986,0.5190491412794985,0.6666928854841868,273.18,1039.2383386001068,1.0605300184018673
76,0.2279397992428941,0.38986492982803644,0.20679057884845956,0.22061866515133557,0.2952550312160779,0.34326457277934513,0.23349600918191715,0.40562675924163355,0.5645789364099133,0.12413533042665548,0.029943501848596607,0.04514136468533986,0.5190491412794985,0.6666928854841868,293.16,1008.5415255528648,0.9480302784785565
77,0.2279397992428941,0.38986492982803644,0.20679057884845956,0.22061866515133557,0.2952550312160779,0.34326457277934513,0.23349600918191715,0.40562675924163355,0.5645789364099133,0.12413533042665548,0.029943501848596607,0.04514136468533986,0.5190491412794985,0.6666928854841868,313.19,975.7803115082093,0.4624292683182523
78,0.2279397992428941,0.38986492982803644,0.20679057884845956,0.22061866515133557,0.2952550312160779,0.34326457277934513,0.23349600918191715,0.40562675924163355,0.5645789364099133,0.12413533042665548,0.029943501848596607,0.04514136468533986,0.5190491412794985,0.6666928854841868,333.18,942.9930763778473,0.8583456149827189
79,0.2279397992428941,0.38986492982803644,0.20679057884845956,0.22061866515133557,0.2952550312160779,0.34326457277934513,0.23349600918191715,0.40562675924163355,0.5645789364099133,0.12413533042665548,0.029943501848596607,0.04514136468533986,0.5190491412794985,0.6666928854841868,353.19,909.1229257564552,0.788060108834978
80,0.22901715639758488,0.39082493648946626,0.26941515034457797,0.25105049644422534,0.17199225145946218,0.38173160771317494,0.25043901534929564,0.12346753089447907,0.5594904618915275,0.3156761523252801,0.025784336512931806,0.0677659706731539,0.7175364459984261,0.7241283704513359,273.18,999.6809729721392,0.5711334791920354
81,0.22901715639758488,0.39082493648946626,0.26941515034457797,0.25105049644422534,0.17199225145946218,0.38173160771317494,0.25043901534929564,0.12346753089447907,0.5594904618915275,0.3156761523252801,0.025784336512931806,0.0677659706731539,0.7175364459984261,0.7241283704513359,293.16,974.4412377871117,0.5138644623875334
82,0.22901715639758488,0.39082493648946626,0.26941515034457797,0.25105049644422534,0.17199225145946218,0.38173160771317494,0.25043901534929564,0.12346753089447907,0.5594904618915275,0.3156761523252801,0.025784336512931806,0.0677659706731539,0.7175364459984261,0.7241283704513359,313.19,950.1165675087387,0.35583726450035225
83,0.22901715639758488,0.39082493648946626,0.26941515034457797,0.25105049644422534,0.17199225145946218,0.38173160771317494,0.25043901534929564,0.12346753089447907,0.5594904618915275,0.3156761523252801,0.025784336512931806,0.0677659706731539,0.7175364459984261,0.7241283704513359,333.18,923.4903374343622,0.2531899038846468
84,0.22901715639758488,0.39082493648946626,0.26941515034457797,0.25105049644422534,0.17199225145946218,0.38173160771317494,0.25043901534929564,0.12346753089447907,0.5594904618915275,0.3156761523252801,0.025784336512931806,0.0677659706731539,0.7175364459984261,0.7241283704513359,353.19,899.1453539677879,0.3238436549130634
85,0.22947566179181933,0.38464789971642205,0.3243833561862052,0.18020410474613166,0.26346627972039827,0.3187100026780527,0.385630258610897,0.2812467971804691,0.3022391939444559,0.6091066511765736,0.027198196137629502,0.02409255752160832,0.4727243677563363,0.8478904521501189,273.18,1020.9924165587671,0.3829408324296686
86,0.22947566179181933,0.38464789971642205,0.3243833561862052,0.18020410474613166,0.26346627972039827,0.3187100026780527,0.385630258610897,0.2812467971804691,0.3022391939444559,0.6091066511765736,0.027198196137629502,0.02409255752160832,0.4727243677563363,0.8478904521501189,293.16,994.0937103918199,0.8069328273268036
87,0.22947566179181933,0.38464789971642205,0.3243833561862052,0.18020410474613166,0.26346627972039827,0.3187100026780527,0.385630258610897,0.2812467971804691,0.3022391939444559,0.6091066511765736,0.027198196137629502,0.02409255752160832,0.4727243677563363,0.8478904521501189,313.19,966.5983254403317,0.7048527032685991
88,0.22947566179181933,0.38464789971642205,0.3243833561862052,0.18020410474613166,0.26346627972039827,0.3187100026780527,0.385630258610897,0.2812467971804691,0.3022391939444559,0.6091066511765736,0.027198196137629502,0.02409255752160832,0.4727243677563363,0.8478904521501189,333.18,938.7061714132707,0.2947023455842746
