,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
122,0.6789259584989513,0.7610374690974092,0.09436001517770423,0.5022485627759014,0.8478486740167219,0.605347867701796,0.07628923307785965,0.15889912177565943
322,0.8884758299518788,0.8163527455576207,0.15811459733139802,0.27047331868903923,0.9796169032171337,0.6640822893083864,0.3103531466989544,0.8284144154528778
176,0.9673556169347753,0.19746299005337967,0.13943632867560937,0.5281295367552892,0.755768933895019,0.5402452671112209,0.003962645514827703,0.878736719857152
155,0.8712166816898357,0.8387529983466805,0.14527936859388146,0.22640007496442516,0.825870384219364,0.6587584624775412,0.03859495523814638,0.4839930104107754
280,0.8299239052179419,0.694433690904671,0.06054343782678277,0.46748078266259413,0.49693975164618515,0.40106247579275284,0.09196109798005389,0.644543513635839
28,0.8186081248941928,0.8377369756522749,0.14958405264309363,0.41542294848558253,0.8771448777496451,0.8943555945132619,0.12832037278436123,0.7635193021509618
77,0.8721618391198239,0.005401739200179556,0.18752015709812583,0.648810129458592,0.7477133477965686,0.9781119531406728,0.04653304728770189,0.7896203127511087
160,0.7387282609103298,0.17557217602732553,0.08873974995156253,0.7816465846562836,0.938976559001473,0.9974838510267082,0.06341149297693101,0.4903098112508618
128,0.939460333859177,0.05148759177130706,0.019539701788616547,0.5223458232879444,0.5559193516396856,0.7818789425965648,0.10728811033304178,0.8243143831303261
144,0.9332536352261175,0.020326244856944627,0.09411464883878035,0.5121728570207665,0.659664544868066,0.4747511700069035,0.10611640575852453,0.9884553008119683
305,0.8553065513577386,0.19017287684563855,0.11738407178269629,0.6057789788237389,0.6222342488922546,0.9698931482467908,0.013074955852033858,0.5240683018777033
123,0.5644997796614434,0.21870950537053724,0.19729476483098787,0.8520500050763601,0.9212456731629436,0.9663956155238156,0.06038343788851316,0.989595648839733
106,0.8201615230999505,0.3286135637423751,0.02680713808182594,0.6156686750790624,0.9692804555329201,0.5809269827888093,0.2369496295934063,0.5064199515520387
258,0.9660310294942552,0.40897853008331164,0.2390161608525735,0.3850447418288818,0.8739989905125742,0.41295764686257785,0.3226512871041504,0.9923742127741034
245,0.595701730819165,0.6995589421322821,0.0338370769636093,0.5290699110116096,0.757219534429393,0.8327055149488851,0.055607639177460366,0.21217827151775676
292,0.9208286977920365,0.5941527883053654,0.1517439238753871,0.44020193173184063,0.852290692754555,0.4978781074557786,0.03879479207700369,0.8386470901965595
99,0.8720957323841642,0.2943539017008489,0.03856006754308223,0.601019310967357,0.7442499419271953,0.6550815340723679,0.07735110242675955,0.32881747778679127
67,0.6960089169909691,0.7483551523136732,0.097883780786702,0.5286967740717192,0.7407848997881404,0.4326173208411848,0.02882117942336715,0.7155360563858755
140,0.818193938780695,0.22190068045898598,0.030431998230529188,0.6750322438229781,0.8404661163603593,0.6698085668345942,0.07455346817440095,0.8584085840677255
290,0.6191466589564181,0.3786268126014727,0.034907740542841,0.7225121685815543,0.8021207492808287,0.9144998941615606,0.01713267527895697,0.2509014648886364
150,0.9286761649455937,0.2945032179551636,0.13427283354263908,0.47520789939530356,0.4022254943278129,0.536973857151141,0.11432041230005903,0.9012994451964967
131,0.511101271486729,0.29596169695734,0.028177870153760387,0.7895320893975231,0.7551279949673084,0.9925074670802095,0.0920960404793277,0.619627761269711
239,0.8390096649712813,0.6139740959402958,0.035020485136739325,0.5299872726191479,0.8741913995882102,0.8134803757166522,0.17112601244276412,0.9572616540533772
192,0.9951691435775274,0.7727889169385096,0.17522118109975582,0.25287977267949263,0.9729558471916019,0.5550739028487552,0.11156466456907023,0.5480352810077675
42,0.9431250251940271,0.4577934116120457,0.16212943321822096,0.45149946859725315,0.9942558757639096,0.3706902279440047,0.25545299183876075,0.8640143204054038
257,0.7820611059108623,0.35145473248537107,0.08438805329516769,0.6306968349583914,0.6773318449026742,0.400878480707581,0.009895911252824227,0.740539369236845
38,0.859193967705753,0.25956018880198484,0.0938563991745603,0.6026736920048094,0.8255420963699066,0.19924192518318107,0.059838483416347996,0.9182840582841808
19,0.9541198617343069,0.030741145034607762,0.010639203084540487,0.5076560141715571,0.8601577863539246,0.38505053092389085,0.05561681497260519,0.8308943408733305
286,0.7798154610162499,0.4970098500017586,0.2525648168456966,0.5383005652945643,0.7789993829041103,0.608559728145802,0.09914692692843591,0.4475165627338427
279,0.6452354202266419,0.19326881325248133,0.1343043897114546,0.7560004242821193,0.9953955720834012,0.007394587067869918,0.016177644470087352,0.6391152632813629
113,0.9512914025282513,0.46966252742675263,0.014276285607913702,0.4230189349031941,0.5008085774677126,0.48888470611880347,0.1368697225653805,0.5517920777994451
165,0.8868626794402009,0.6872729248594772,0.31164163689578206,0.3494438138454265,0.845843813010969,0.2046360952374187,0.021840725745800108,0.9703460235506122
169,0.8838900289052357,0.49543621322119746,0.15627811356325555,0.6322980904663094,0.9830466724601425,0.9395767265124019,0.12244077961996092,0.9659880425759768
37,0.9549692042992883,0.411076426128624,0.23303381615892732,0.4250481556852187,0.9591775490983384,0.6261254814180413,0.10345528641961257,0.16201500584192025
312,0.9288017383215337,0.142752655030489,0.018113998736097654,0.5457664536685778,0.6204719550293649,0.9864888242278952,0.18483182964807296,0.24763120866370505
148,0.8862994890042366,0.020490691244079377,0.16528783013171383,0.5881845825917363,0.9186407704785471,0.6283382217232271,0.02514585522324874,0.23957669876538631
319,0.7863387202442493,0.5018793129107729,0.2598151560919821,0.5223223302990986,0.6746344189939675,0.46456264564110294,0.02554671061875533,0.6561942522544052
337,0.9023042329791968,0.7876646342251782,0.08173778965819316,0.37535241567588323,0.5762724133043174,0.9167112954831306,0.05751766922919513,0.2068826965537678
218,0.9900094232303135,0.3627578825960871,0.01901527775332715,0.36562495597224764,0.45883946757232774,0.532396122850029,0.04485889456101882,0.2721791404748671
73,0.6384877573933646,0.7923506141807726,0.10938728328642593,0.4479903885800827,0.6900190139432981,0.6382412726559122,0.031048158756400473,0.34169370590039183
136,0.9327741618388335,0.22350153436084788,0.08783782134025464,0.47518179319594595,0.47883321324460926,0.7369234149100489,0.004228245150434435,0.13283369862097258
39,0.7934137067492626,0.797991052391846,0.13056918437411055,0.3928909313742055,0.8566053533934416,0.9860102568237255,0.21951948567493437,0.5191507968872409
276,0.8684152101183252,0.6551147415466498,0.0635771273577,0.4665133218563146,0.7276482359791436,0.22660534342855315,0.08599528158337899,0.02101028164782582
210,0.4990442207278597,0.7661969577287849,0.06195470179943178,0.5167207894258192,0.9490703300330845,0.6501835648615384,0.09029450110682972,0.443999106321571
94,0.9039931535332703,0.4718516510190114,0.27266341250163606,0.5088973824680353,0.9952071643493151,0.8545056104673404,0.10544818782187032,0.44709510990030427
253,0.7152189336292121,0.691957523397452,0.05743508755282956,0.5426395982180989,0.4280363530887462,0.9555656321514606,0.08665882887967453,0.8061874346445838
230,0.8512711170249406,0.13610537892925462,0.13303341115306533,0.6075803037752343,0.5817471082052581,0.36766897886567984,0.07677220614253681,0.9810059295538486
171,0.9824374203291152,0.11772212681473476,0.045141035499111845,0.37899974221284477,0.2982934068398687,0.5901459437894164,0.04411637707071748,0.8406929715272219
182,0.8677326678122956,0.2407751816012116,0.08191591419355919,0.5762658357841098,0.976263835537683,0.3353744647519745,0.28081053860171284,0.722441456415503
209,0.8525808863685254,0.712904676524962,0.12404979869065735,0.38261560473816625,0.8602027926154883,0.6699684505443585,0.2936037967889612,0.523031710304491
87,0.9092188620665373,0.05166747789525596,0.15005732155356552,0.5459447341354766,0.9088695147969492,0.290327114004489,0.0112459773227501,0.5000706682084498
156,0.5313561762880014,0.6981464080689571,0.08170532596772688,0.5554993139073979,0.6805196879244483,0.7895819788849986,0.03515186751433086,0.7643083250769589
273,0.8543598898240244,0.38215884210120954,0.09647018747021205,0.6078139328996329,0.6650044422703756,0.8417419337012626,0.013904483271772732,0.16854287936786264
247,0.7395444801107797,0.6474927022925459,0.11544560280021629,0.6537567887226394,0.9453296640721861,0.8571881484057312,0.02951514249902962,0.6638832946185639
3,0.964798039603567,0.3000281918232069,0.19363821752286872,0.5113263042130212,0.9136246114277038,0.6540288348111273,0.10961867485325158,0.8747120952040475
133,0.9836566857781105,0.05288008358479644,0.01732693119563873,0.4869812623049345,0.9014880679692479,0.8727368091963832,0.12825172632038165,0.6214375234537167
167,0.8756208642760517,0.6892792934217825,0.11964405085511101,0.45523014907454024,0.9510695871039384,0.04718395982041913,0.2140433598751554,0.8716724294024718
330,0.5421005460588981,0.28299980199109503,0.2262842914179439,0.7775678358096838,0.9417552351226446,0.8026928150715917,0.0255422973266721,0.6286975421958748
