,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
174,0.832945863260364,0.34201896472699755,0.031575391532000084,0.5892750387102086,0.9774076823971342,0.4160786627535334,0.2526456091097328,0.3311204745144328
466,0.8868626794402009,0.6872729248594772,0.31164163689578206,0.3494438138454265,0.845843813010969,0.2046360952374187,0.021840725745800108,0.9703460235506122
121,0.8835803493127022,0.7528888522415093,0.08811087341213146,0.39209786813435027,0.7984118427021782,0.6122400682109425,0.1632504851950102,0.7069391059052503
493,0.8663471785813359,0.062195010880823604,0.3376055762222127,0.5322258560382379,0.8037715625244019,0.35432647232087416,0.25939087416453294,0.5144916301008416
167,0.7112217394373336,0.8993688613864969,0.05954485529017179,0.39333644865177375,0.840861921184884,0.890046854556328,0.10174770128829892,0.23019212859576804
520,0.9039005146136787,0.554053448049066,0.010531560997151985,0.3869015936747797,0.688606019799688,0.8039734100433512,0.46182041400512147,0.33876123571597216
446,0.8758665735872145,0.5700930278393341,0.11048724890459861,0.3824904179876695,0.9015197513596727,0.5562258684630235,0.4232129925435443,0.053740128306766395
510,0.9413519289905782,0.011519888828035183,0.20845924299306162,0.487384098265948,0.5964816819614212,0.8446417460840975,0.4372877979388369,0.761734446697564
584,0.8560923269769044,0.24411399872808012,0.025119001214891027,0.5837883850216503,0.4628954308636694,0.7926497112341007,0.16738767634939544,0.664486922852716
149,0.9537228850739005,0.40018784883051767,0.35188280651525106,0.3837987684590276,0.7199759781436162,0.5384743014400295,0.18622993437168225,0.560393866560243
554,0.988909929038456,0.3868861177116753,0.1986736929709466,0.3095812796081814,0.3681851810989341,0.9432498809056569,0.14110531249987,0.6086101962881473
264,0.8826594618940757,0.012925154545679815,0.1904046554675917,0.6217753738783837,0.9645767266021413,0.728995522739964,0.4246103494908226,0.9240231345580086
80,0.9380191573258437,0.5004704427047201,0.2992339413138421,0.41375463316357336,0.9054274734484495,0.24820343171775078,0.006443197310292453,0.5942763902311096
138,0.5827580444417272,0.4893295820437091,0.006890413121231736,0.7220157690209215,0.9664594188351946,0.8385026251831358,0.06627684745670183,0.9798678636491622
377,0.9327741618388335,0.22350153436084788,0.08783782134025464,0.47518179319594595,0.47883321324460926,0.7369234149100489,0.004228245150434435,0.13283369862097258
402,0.9633271578058736,0.37291680122968035,0.2520845846413906,0.35677585180769544,0.6621703941260727,0.7587324711214403,0.1627617670036694,0.023149865958264938
527,0.690787320955392,0.8548023800708691,0.27043244607314404,0.46730774704856953,0.9721278629020169,0.7661564267699645,0.014990570620474902,0.7533768455859194
539,0.8044461934219364,0.44529046731378763,0.2881245662160342,0.5101932717561585,0.8516822350836338,0.3928364873389901,0.3355949501973561,0.465096770057606
380,0.9508973166158218,0.3266942822145117,0.2886602712844668,0.3710755750532639,0.8567925508318681,0.27499082601051067,0.30584965541337267,0.19139738511713483
