,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc
12,0.3567696840875307,0.3567164871210022,0.2788257456531144,0.2956884330495681,0.2585844478753917,0.3057074356129652,0.3005782500774239,0.2425773847808936,0.2495428558635442,0.070978849185524,245.44536162037102,1.1601762613522821,14.645793537777854,6.491354453966649,3.7939793237112287,1.9640537577600046,0.3793147838523735,5.131706720038004,0.4721437693599985,11.205123345532318,2.6552522156490936,3.279315799008151,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
13,0.3596259965395839,0.3501592134896356,0.3202981098855196,0.2648916245599926,0.2557291749005093,0.4682527081931351,0.2088357260416766,0.2911738483087441,0.1933553000019449,0.06289368608426,199.3348165236876,1.0602147145110075,13.678720311111192,0.7852137215592615,2.2292702925848213,0.7957169770533294,0.11987457385639333,2.8680449841088484,0.23569792376955503,8.153614054134628,2.2534801434966028,2.7498397552536518,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
14,0.3665321616655,0.3981758203769918,0.321571030446781,0.2596001202152982,0.2128351481845886,0.3437890903381884,0.3645172179694025,0.1572267193031009,0.1582465224415018,0.0774353983162305,173.17504549628683,1.0005247719008905,12.884961117777767,5.239778287802518,4.118255507203837,1.690305713146665,0.3270827071175527,5.859561599160807,0.46984431178044445,6.663265045440385,1.61228030296251,2.268612834468425,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
15,0.3730588436668338,0.3809523176974795,0.268163690761761,0.3075302429984152,0.2142401077166328,0.2826162826688119,0.493718675317343,0.1997253494973495,0.1267385077585229,0.0605094681298276,375.48328155518846,1.4728385935524801,19.128868773333398,2.7195366918540076,5.609993247444817,1.3401750467866662,0.20970460323696272,7.260148798428275,0.39023725822533384,2.2272654621449646,1.0892103077678401,1.305465590605283,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
16,0.3793331049785857,0.3983153016713657,0.286948104650233,0.2759206039279958,0.2654222628702887,0.1954066519952406,0.2880313535982807,0.2580577930190044,0.2152272027276588,0.0268862216007427,116.14056484322842,0.8207783458621017,10.676262341333222,42.84788016268659,11.200875278394221,5.374593575275557,1.496588166174361,12.676634111694915,0.98053221701111,8.393110181518498,1.9670518637081702,2.7084936034091696,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
17,0.3800106197725405,0.3189861530052293,0.3098633246367611,0.2784166232006206,0.1806908587183809,0.3559668662170577,0.3273102060979326,0.2474534366624232,0.2454616167876371,0.0385140473403671,188.28860708522637,1.0399910500799543,13.579440071777753,3.4105301218780233,5.9234133943594,1.528617929711108,0.2501640421165146,7.506282321390802,0.44173472949533227,4.438775205983386,1.6228351044370322,1.9236487538258102,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
18,0.3860208301464067,0.3256905156085447,0.267921750843283,0.3009108986970334,0.2123968936969608,0.371254822283263,0.3609789807504613,0.3023382386789708,0.1673583038162549,0.0744586557150729,303.2845078128492,1.3076084884148862,17.10264727777785,64.57232625831256,10.729621188322703,5.733833140382224,1.3781023580982315,11.372564324207449,0.8905672486557767,0.6589864569426584,0.542118507575381,0.7286319467777872,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
19,0.3879896597073708,0.3210245572337054,0.2953950202812789,0.2893615968691437,0.2299239906162148,0.4504467181219064,0.4576795315231717,0.1636561301017868,0.206063317734644,0.0174811319233055,137.8984726468594,0.8841329096356303,11.359096337777828,7.47064953688826,4.773649569023308,2.0065311210355565,0.2909944021790711,6.116552835001119,0.43085841553866666,2.261323849543963,1.0597453567042943,1.2241455013311822,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
20,0.388559405120622,0.3107508003171211,0.3272518968694273,0.2604527381763095,0.2027641561962345,0.1953122233087501,0.3937125884586336,0.3140230714454425,0.2731097605149528,0.0556385665786648,126.97967944424018,0.7787746411040164,9.683666233333497,7.641529900550054,4.901226711499625,2.26731095959778,0.01857392511419163,2.7039522790861397,0.12947737674815615,20.232335348222865,3.566234813483525,4.380088226188673,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
21,0.3918076837544981,0.3168245281134114,0.2739370759948065,0.2883048760514088,0.2335728672008236,0.2771825773725413,0.1911560173651268,0.3259665464114081,0.2916590317912595,0.0681673474260886,586.0483896704285,1.8494545449443036,24.06128050222237,7.50921809852189,4.4708032138887415,2.09865809566,0.4915705283142344,6.084237687700322,0.5159858422204449,7.052051603607326,2.096782978948717,2.568535641625354,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
