frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K,total_ke_kJ_per_mol
58,580.0,6,5.505136481310047e-19,316.45667635638426,
59,590.0,7,6.022450227863033e-19,296.73761520224383,
60,600.0,5,3.87481309544895e-19,267.28720957621067,
61,610.0,5,3.6676598509763816e-19,252.99763965224093,
62,620.0,2,1.4030388387409558e-19,241.95640337761023,
63,630.0,4,3.758120000437437e-19,324.04705189176525,
64,640.0,4,2.751347860917511e-19,237.23727899994086,
65,650.0,2,1.4891864852151457e-19,256.81270964996236,
66,660.0,4,3.2633238262416985e-19,281.3828364018953,
67,670.0,3,2.664569976408217e-19,306.3397107468238,
68,680.0,2,1.4937836580558715e-19,257.60549982478415,
69,690.0,5,3.9713310670860525e-19,273.945084079406,
70,700.0,5,4.438956905646322e-19,306.20222847207714,
71,710.0,4,3.7208284830453228e-19,320.8315594992716,
72,720.0,5,4.646868460497708e-19,320.5441071552449,
73,730.0,3,2.0472201379138784e-19,235.36436664687935,
74,740.0,5,3.778917203601663e-19,260.67224655469397,
75,750.0,5,4.476595538615932e-19,308.7985666517242,
76,760.0,7,5.99714896048827e-19,295.4909734769795,
77,770.0,4,3.782408701111527e-19,326.1413654971862,
78,780.0,5,4.2526184486851334e-19,293.34847656946516,
79,790.0,5,4.685110931909557e-19,323.1820985161641,
80,800.0,6,5.295420169721454e-19,304.40136634393326,
81,810.0,6,4.849851613299621e-19,278.7883511293476,
82,820.0,5,3.8906711140715246e-19,268.38110635074514,
83,830.0,1,9.54670744867171e-20,329.26914559994225,
84,840.0,5,4.662737140883245e-19,321.6387393853487,
85,850.0,6,5.318318756882084e-19,305.7176662777699,
86,860.0,5,3.8417861957002356e-19,265.00899185129504,
87,870.0,7,5.50870569926053e-19,271.424441913504,
88,880.0,4,2.9293556990173114e-19,252.5861542735225,
89,890.0,7,6.646051483483757e-19,327.4636390677294,
90,900.0,6,4.621340585073376e-19,265.6526476370249,
91,910.0,6,5.196832872914767e-19,298.7341847246721,
92,920.0,3,2.5337122175795266e-19,291.2952839374386,
93,930.0,6,5.125711444417502e-19,294.64584814003456,
94,940.0,6,5.417816764666471e-19,311.43719910941303,
95,950.0,7,5.3363756590168335e-19,262.93341197804097,
96,960.0,10,8.483207382680041e-19,292.5886712104938,
97,970.0,8,6.502625967462936e-19,280.34719142362854,
98,980.0,8,6.651816374257141e-19,286.7792254574764,
99,990.0,7,5.839118700152094e-19,287.70452098543507,
100,1000.0,4,3.9280722965335187e-19,338.7013312936369,
101,1010.0,7,6.299878552260706e-19,310.4070381541261,
102,1020.0,6,5.183540547567618e-19,297.9700901169022,
103,1030.0,6,4.146164218704426e-19,238.33766024393535,
104,1040.0,7,5.731398528511005e-19,282.3969425692503,
105,1050.0,7,5.103330613536916e-19,251.4508378738217,
106,1060.0,5,3.8127891827380216e-19,263.00875842330885,
107,1070.0,4,2.986756717111864e-19,257.53560524554064,
108,1080.0,7,6.623712012340528e-19,326.36293069470673,
109,1090.0,5,4.262241230194245e-19,294.0122625004441,
110,1100.0,7,5.796451571604415e-19,285.602230141388,
