,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,temperature,liq_density,iter
54,0.2100720034217099,0.21654118657659033,0.32510141433695683,0.3323195378198934,0.170010919244798,0.02780247940590802,1.3656401907897728,1.5096948175632297,333.15,1133.6001110298068,1
55,0.21113344230311373,0.2352652761280373,0.37250547304271253,0.31480197891824047,0.5548940762909578,0.059588736193433176,0.7800184208340778,1.0682771402275808,313.15,917.0713026556955,1
56,0.21113344230311373,0.2352652761280373,0.37250547304271253,0.31480197891824047,0.5548940762909578,0.059588736193433176,0.7800184208340778,1.0682771402275808,318.15,906.0068177074874,1
57,0.21113344230311373,0.2352652761280373,0.37250547304271253,0.31480197891824047,0.5548940762909578,0.059588736193433176,0.7800184208340778,1.0682771402275808,323.15,896.3619999998048,1
58,0.21113344230311373,0.2352652761280373,0.37250547304271253,0.31480197891824047,0.5548940762909578,0.059588736193433176,0.7800184208340778,1.0682771402275808,328.15,886.8453686884621,1
59,0.21113344230311373,0.2352652761280373,0.37250547304271253,0.31480197891824047,0.5548940762909578,0.059588736193433176,0.7800184208340778,1.0682771402275808,333.15,876.260461049955,1
60,0.21252565197484635,0.28348869541610217,0.3785418267794576,0.44983707755008645,0.45531962682492444,0.06858019786904727,0.9846898567777124,1.3792362793766295,313.15,802.7083041295201,1
61,0.21252565197484635,0.28348869541610217,0.3785418267794576,0.44983707755008645,0.45531962682492444,0.06858019786904727,0.9846898567777124,1.3792362793766295,318.15,797.7821494449096,1
62,0.21252565197484635,0.28348869541610217,0.3785418267794576,0.44983707755008645,0.45531962682492444,0.06858019786904727,0.9846898567777124,1.3792362793766295,323.15,794.0867947498734,1
63,0.21252565197484635,0.28348869541610217,0.3785418267794576,0.44983707755008645,0.45531962682492444,0.06858019786904727,0.9846898567777124,1.3792362793766295,328.15,789.355219411259,1
