,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,temperature,liq_density
37,0.20268439830090926,0.20067115997325763,0.20190217757582568,0.165306132777543,0.0,0.0,0.3055693451454294,0.34210369238198035,0.3838681027815776,0.1349184636359262,0.08001315906000958,0.05909896497593507,0.0,0.0,1.027507339566404,0.6957892657945276,313.15,1334.9503276326188
38,0.20268439830090926,0.20067115997325763,0.20190217757582568,0.165306132777543,0.0,0.0,0.3055693451454294,0.34210369238198035,0.3838681027815776,0.1349184636359262,0.08001315906000958,0.05909896497593507,0.0,0.0,1.027507339566404,0.6957892657945276,323.15,1320.7070044540778
39,0.20268439830090926,0.20067115997325763,0.20190217757582568,0.165306132777543,0.0,0.0,0.3055693451454294,0.34210369238198035,0.3838681027815776,0.1349184636359262,0.08001315906000958,0.05909896497593507,0.0,0.0,1.027507339566404,0.6957892657945276,333.15,1311.4146721194336
40,0.20278106183316064,0.2129630329217473,0.15391672855484526,0.15946325845408746,0.0,0.0,0.30055835314331325,0.3850307955136698,0.11225175789956258,0.2131814717869585,0.03890348635387247,0.03387999065697781,0.0,0.0,0.7103831038151243,0.8903724217630717,293.15,1311.1476967806627
41,0.20278106183316064,0.2129630329217473,0.15391672855484526,0.15946325845408746,0.0,0.0,0.30055835314331325,0.3850307955136698,0.11225175789956258,0.2131814717869585,0.03890348635387247,0.03387999065697781,0.0,0.0,0.7103831038151243,0.8903724217630717,303.15,1319.631569247301
42,0.20278106183316064,0.2129630329217473,0.15391672855484526,0.15946325845408746,0.0,0.0,0.30055835314331325,0.3850307955136698,0.11225175789956258,0.2131814717869585,0.03890348635387247,0.03387999065697781,0.0,0.0,0.7103831038151243,0.8903724217630717,313.15,1326.6436712912491
43,0.20278106183316064,0.2129630329217473,0.15391672855484526,0.15946325845408746,0.0,0.0,0.30055835314331325,0.3850307955136698,0.11225175789956258,0.2131814717869585,0.03890348635387247,0.03387999065697781,0.0,0.0,0.7103831038151243,0.8903724217630717,323.15,1320.132110193032
44,0.20278106183316064,0.2129630329217473,0.15391672855484526,0.15946325845408746,0.0,0.0,0.30055835314331325,0.3850307955136698,0.11225175789956258,0.2131814717869585,0.03890348635387247,0.03387999065697781,0.0,0.0,0.7103831038151243,0.8903724217630717,333.15,1307.8353920638776
45,0.203453844755197,0.3354441112541917,0.16375315245495814,0.20101060901037737,0.0,0.0,0.29320990572576,0.36101423366480867,0.09095291340179686,0.1191658611929863,0.059147522936511515,0.04492324486000035,0.0,0.0,0.8233744546229679,0.6310392276798192,293.15,1361.3361072563162
46,0.203453844755197,0.3354441112541917,0.16375315245495814,0.20101060901037737,0.0,0.0,0.29320990572576,0.36101423366480867,0.09095291340179686,0.1191658611929863,0.059147522936511515,0.04492324486000035,0.0,0.0,0.8233744546229679,0.6310392276798192,303.15,1356.9735595995976
47,0.203453844755197,0.3354441112541917,0.16375315245495814,0.20101060901037737,0.0,0.0,0.29320990572576,0.36101423366480867,0.09095291340179686,0.1191658611929863,0.059147522936511515,0.04492324486000035,0.0,0.0,0.8233744546229679,0.6310392276798192,313.15,1378.1478902091508
48,0.203453844755197,0.3354441112541917,0.16375315245495814,0.20101060901037737,0.0,0.0,0.29320990572576,0.36101423366480867,0.09095291340179686,0.1191658611929863,0.059147522936511515,0.04492324486000035,0.0,0.0,0.8233744546229679,0.6310392276798192,323.15,1356.1766079212846
