split,kernel_liq_density,mse_liq_density,mapd_liq_density
85,Matern32,0.358486770413219,0.055458319963967585
86,Matern32,0.0734521587804768,0.02524052517490478
87,Matern32,0.012519071233470118,0.010482795026313727
88,Matern32,0.0071017738129609985,0.007941721731778933
89,Matern32,0.09787136627460609,0.029650654373296975
90,Matern32,0.02056949821707143,0.01335960010575548
91,Matern32,0.0010918651971063623,0.0030918073949757975
92,Matern32,0.0003409762853905996,0.0017355848751279442
93,Matern32,0.0032228650269037185,0.005360107397224624
94,Matern32,0.017382275864650496,0.012503919485465542
95,Matern32,0.10517964609663771,0.02971928592567473
96,Matern32,0.03817720249390654,0.018018445005037177
97,Matern32,0.05193024357394298,0.02114371331069776
98,Matern32,0.042132281512983115,0.019169903559774732
99,Matern32,0.10269283655837014,0.030117761880903524
100,Matern32,2.0390399609137444,0.13135890027029745
101,Matern32,0.3562584577400089,0.0551578234388651
102,Matern32,0.009036003156445043,0.008836074479724638
103,Matern32,0.12642402497502025,0.0332488375004689
104,Matern32,0.6548430160832146,0.07608128540086499
105,Matern32,0.019463211749464516,0.012877208510574415
106,Matern32,0.0064699565687756895,0.007457383730442937
107,Matern32,0.02071467092691153,0.013404023328352808
108,Matern32,0.027481763951103917,0.015506261608021803
109,Matern32,0.055503216136148906,0.022141438322101727
110,Matern32,0.37810593755730915,0.056529822161447016
111,Matern32,0.11336266834646808,0.031179318291789312
112,Matern32,0.10895748904563084,0.030780781513321944
113,Matern32,0.0380811091595085,0.0183362228950107
114,Matern32,0.0019029037157782102,0.004129260733240779
115,Matern32,0.08522299550399721,0.02717697036475924
116,Matern32,4.92254418789831e-08,2.0796991736170283e-05
117,Matern32,0.1658855764197741,0.03843379967473093
118,Matern32,0.4445011444180851,0.06329646257589924
119,Matern32,1.6886237353143274,0.12427844383676026
120,Matern32,0.002960482553633238,0.0050011033178554605
121,Matern32,0.0008368867759357295,0.0026708436677706222
122,Matern32,0.0001790346079518696,0.001240773304239429
123,Matern32,4.7213810054238094e-05,0.0006400097678976842
124,Matern32,0.02433365696492212,0.014597199552300925
