,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens
10,0.27527593335323686,0.2230345715597878,0.3459890366929099,0.4185593922142036,0.48260167782404095,0.054933684338231856,0.678005837952076,1.0489437593233606,5.585393894772477,0.20156864243365807,2.1633616002817235,0.20156864243365807,7.963732837500021,6.836790739089412,2.7450100000000033,6.836790739089412
11,0.2878000622243807,0.19673110573693764,0.38848519221824096,0.42719938990046336,0.592611025804476,0.018538255895862738,0.6277223378753573,1.010188727914616,5.420506207152302,0.2167588308010474,2.3185488581911615,-0.21675883080104744,29.837186782500016,13.448791868217219,5.399870000000002,13.448791868217219
12,0.2918576002153899,0.25868249177030217,0.2570430038989646,0.37939926138499513,0.6000877496379132,0.05538978553435035,0.8414269625152807,0.7831131169781163,88.00035844270889,0.8348461551566735,8.952724751505594,0.8348461551566734,63.522686126499956,19.887013124896196,7.960409999999998,-19.887013124896193
13,0.2928386021194332,0.2608399767834364,0.2789136092295138,0.4025280386378195,0.5030869663563926,0.030823932283240395,1.0348795280835628,1.0929918654967812,86.27276104983463,0.8548872785340996,9.13759897252039,-0.8548872785340997,12.529246809499991,8.794328084284295,3.5141699999999987,-8.794328084284297
14,0.3236171786441676,0.2726635175948803,0.20195228639781918,0.39601564486985685,0.5882624119294151,0.05820651496640826,0.6364717008406953,0.974865853469156,32.19128146892544,0.5249669417312175,5.6125923052654345,-0.5249669417312175,0.505514961499999,1.6859780174856458,0.6740099999999998,0.6988852700134269
15,0.3365395263961145,0.1674263365237744,0.3484187846975465,0.39206546132515446,0.14026484775891326,0.049558933080883744,0.6359152784247415,0.7886988079180475,28.284104702330996,0.40295105027209377,4.29382142182194,-0.3117327819371095,206.90476113199992,35.92288620236967,14.374319999999997,-35.92288620236967
16,0.3400879092360256,0.1755830695062575,0.37684163170651297,0.2730436647345459,0.2836329087433121,0.052209331684768365,1.0895772245485427,0.9747469144444305,18.72385384856431,0.32866924322695484,3.5020952119152753,-0.2608733653325233,155.42243667949995,31.11651434257714,12.451549999999997,-31.116514342577137
17,0.3552463394924723,0.25506986889713684,0.3079041466810915,0.2500190473129999,0.5851010543254292,0.06284026980535393,0.9989850813427557,1.2328135290433788,10.573666522367736,0.26387567073010826,2.813099075213722,-0.2638756707301083,6.839326399999992,6.400816443012265,2.5516199999999984,-6.400816443012263
18,0.3622354017992961,0.2586028935519922,0.2059057182132707,0.419080592935196,0.6058015885879877,0.026297380826056684,0.8640134794865866,0.8703466492072918,39.219839210928974,0.5842333463525458,6.254336359596801,-0.5842333463525458,35.209196674500035,14.6411552833212,5.8709700000000025,14.6411552833212
19,0.3706992952912471,0.2299333760665112,0.30695723398633445,0.2555104699844697,0.6140387879948577,0.017729698957522792,0.9231805934260555,0.9221752091942775,61.721836536575246,0.6930155979672755,7.433204668913595,0.6930155979672759,55.863916077999974,18.642619995514448,7.4540999999999995,-18.642619995514444
20,0.37549029313079396,0.19750976348319335,0.20637157292216113,0.42841508554346563,0.34019937397430566,0.016812659795097006,1.0709580570772292,0.7580816816558749,31.01776528727978,0.5033779205265886,5.395783036004286,0.5033779205265886,36.61936171849997,15.029554776821977,6.025769999999997,-15.029554776821977
21,0.3946695957939334,0.24160822071983168,0.21891182837521284,0.3582618666956379,0.48131185498590345,0.07901314232171229,0.7569951548521034,0.8945150892978457,12.82868295181203,0.3338286769094202,3.5707058305583814,0.3338286769094202,64.04080263550006,19.921049533556236,7.969690000000004,19.92104953355624
22,0.3953058331634313,0.18925969871917186,0.2438511585308245,0.343664536041571,0.21576739610490747,0.059518769062566354,0.8585310931520231,0.7987315156453368,19.552852075382,0.3545040484324887,3.8042269068935637,0.17778687437135274,203.72365818349996,35.64686523075509,14.26447,-35.64686523075509
23,0.39645529809470437,0.18304467857743018,0.28253708410993444,0.25280793759191095,0.4486623949221228,0.06950342002886849,0.6802498495243171,0.9764864204162919,114.01793421115312,0.9618000113856482,10.27355430718344,-0.961800011385648,103.43241263099996,25.368738030739234,10.149639999999998,-25.368738030739234
24,0.39952999683537305,0.217418242636853,0.243921330054394,0.3566818846460828,0.522178051386998,0.053947147762974754,0.6534819438656155,1.1150240111498413,66.4632106475461,0.7615117998227063,8.147514101390698,0.7615117998227061,72.84263845250008,21.275635502405343,8.516190000000005,21.275635502405343
